project,unit,type,owner,parent,countries,status_tabular,start_year,capacity,production,units,geom,lat,lng,route,url,pci5,status
Douglas,,gas_extraction_area,,,United Kingdom,operating,1996,,1.19,million boe/y,point,53.534,-3.5682,,https://www.gem.wiki/Douglas_Oil_and_Gas_Field_(United_Kingdom),,operating
Draugen,,gas_extraction_area,Petoro AS (47.9%);OKEA ASA (44.6%);Neptune Energy Norge AS (7.6%),Petoro AS (47.9%);Bangchak/BCPR PTE. LTD. (20.7%);China Investment Corporation (3.7%);The Carlyle Group (2.3%);CVC Capital Partners (1.5%),Norway,operating,1993,,6.38,million boe/y,point,64.332,7.756,,https://www.gem.wiki/Draugen_Oil_and_Gas_Field_(Norway),,operating
Dunbar,,gas_extraction_area,,,United Kingdom,operating,1994,,2.08,million boe/y,point,60.607,1.6554,,https://www.gem.wiki/Dunbar_Oil_and_Gas_Field_(United_Kingdom),,operating
Duva,,gas_extraction_area,PGNiG Upstream Norway AS (30%);Neptune Energy Norge AS (30%);Idemitsu Petroleum Norge AS (30%);Sval Energi AS (10%),"Polskie Górnictwo Naftowe i Gazownictwo SA (PGNiG) (30%);China Investment Corporation (14.7%);The Carlyle Group (9.2%);CVC Capital Partners (6.1%);Idemitsu Kosan Co.,Ltd (30%);HitecVision (10%)",Norway,in-development,,,,,point,61.408,4.081,,https://www.gem.wiki/Duva_oil_and_gas_field,,construction_plus
Dzieduszyce,,gas_extraction_area,,,Poland,operating,1999,,0.13,million boe/y,point,52.4,19.18,,https://www.gem.wiki/Dzieduszyce_Oil_and_Gas_Field_(Poland),,operating
Dzików,,gas_extraction_area,,,Poland,operating,1996,,0.41,million boe/y,point,52.4,19.18,,https://www.gem.wiki/Dzików_Gas_Field_(Poland),,operating
Dötlingen (Zechstein),,gas_extraction_area,,,Germany,operating,1965,,0.17,million boe/y,point,52.913,8.354,,https://www.gem.wiki/Dötlingen_(Zechstein)_Gas_Field_(Germany),,operating
E17a-A,,gas_extraction_area,Neptune Energy Netherlands B.V. (34.7%);EBN B.V. (50%);TotalEnergies E&P Nederland B.V. (14.1%);Vermilion Energy Netherlands B.V. (1.2%),China Investment Corporation (17%);The Carlyle Group (10.6%);CVC Capital Partners (7.1%);Energie Beheer Nederland (EBN) (50%);TotalEnergies (14.1%);Vermilion Energy Inc. (1.2%),Netherlands,operating,2009,,3.04,million boe/y,point,54.096,3.368,,https://www.gem.wiki/E17a-A_Oil_and_Gas_Field_(Netherlands),,operating
East Brae,,gas_extraction_area,,,United Kingdom,operating,1993,,1.52,million boe/y,point,58.876,1.5451,,https://www.gem.wiki/East_Brae_Oil_and_Gas_Field_(United_Kingdom),,operating
Edgeworth,,gas_extraction_area,,,Ireland,discovered,,,,,point,50.804,-11.572,,https://www.gem.wiki/Edgeworth_Oil_and_Gas_Field_(Ireland),,proposed_plus
Edradour,,gas_extraction_area,TotalEnergies E&P UK (60%);DONG E&P UK Limited (20%);SSE E&P UK Limited (20%),TotalEnergies (60%);INEOS (20%);SSE PLC (20%),United Kingdom,operating,2017,,4.22,million boe/y,point,60.938,-2.2322,,https://www.gem.wiki/Edradour_Oil_and_Gas_Field_(United_Kingdom),,operating
Edvard Grieg,,gas_extraction_area,Lundin Energy Norway AS (65%);OMV (Norge) AS (20%);Wintershall DEA Norge AS (15%),Lundin Energy AB (65%);OMV Aktiengesellschaft (20%);BASF SE (15%),Norway,operating,2015,,36.03,million boe/y,point,58.849,2.2567,,https://www.gem.wiki/Edvard_Grieg_Oil_and_Gas_Field_(Norway),,operating
Eesveen,,gas_extraction_area,,,Netherlands,operating,2015,,0.94,million boe/y,point,52.818,6.18,,https://www.gem.wiki/Eesveen_Oil_and_Gas_Field_(Netherlands),,operating
Ekofisk,,gas_extraction_area,TotalEnergies E&P Norge AS (39.9%);ConocoPhillips Skandinavia AS (35.1%);Vår Energi AS (12.4%);Equinor Energy AS (7.6%);Petoro AS (5%),TotalEnergies (39.9%);ConocoPhillips (35.1%);Eni (8.7%);HitecVision (3.7%);Equinor ASA (7.6%);Petoro AS (5%),Norway,operating,1971,,37.35,million boe/y,point,56.547,3.2183,,https://www.gem.wiki/Ekofisk_Oil_and_Gas_Field_(Norway),,operating
Eldfisk,,gas_extraction_area,TotalEnergies E&P Norge AS (39.9%);ConocoPhillips Skandinavia AS (35.1%);Vår Energi AS (12.4%);Equinor Energy AS (7.6%);Petoro AS (5%),TotalEnergies (39.9%);ConocoPhillips (35.1%);Eni (8.7%);HitecVision (3.7%);Equinor ASA (7.6%);Petoro AS (5%),Norway,operating,1979,,17.57,million boe/y,point,56.397,3.258,,https://www.gem.wiki/Eldfisk_Oil_and_Gas_Field_(Norway),,operating
Elgin,,gas_extraction_area,,,United Kingdom,operating,2001,,19.13,million boe/y,point,57.002,1.8479,,https://www.gem.wiki/Elgin_Oil_and_Gas_Field_(United_Kingdom),,operating
Ellon,,gas_extraction_area,,,United Kingdom,operating,1994,,0.66,million boe/y,point,60.608,1.8159,,https://www.gem.wiki/Ellon_Oil_and_Gas_Field_(United_Kingdom),,operating
Elżbieciny,,gas_extraction_area,,,Poland,operating,,,0.09,million boe/y,point,52.4,19.18,,https://www.gem.wiki/Elżbieciny_Gas_Field_(Poland),,operating
Emlichheim,,gas_extraction_area,,,Germany,operating,1944,,0.99,million boe/y,point,52.646,6.87,,https://www.gem.wiki/Emlichheim_Oil_and_Gas_Field_(Germany),,operating
Emma Ovest,,gas_extraction_area,,,Italy,operating,,,,,point,40.797,12.631,,https://www.gem.wiki/Emma_Ovest_Gas_Field_(Italy),,operating
Enochdhu,,gas_extraction_area,,,United Kingdom,operating,2015,,1.10,million boe/y,point,57.978,0.86113,,https://www.gem.wiki/Enochdhu_Oil_and_Gas_Field_(United_Kingdom),,operating
Erskine,,gas_extraction_area,Ithaca Energy (50%);Chrysaor Holdings Limited (32%);Serica Energy PLC (18%),Delek Group Limited (50%);Harbour Energy PLC (32%);Serica Energy PLC (18%),United Kingdom,operating,1997,,5.66,million boe/y,point,57.034,2.0553,,https://www.gem.wiki/Erskine_Oil_and_Gas_Field_(United_Kingdom),,operating
Ervine,,gas_extraction_area,,,Ireland,discovered,,,,,point,50.804,-11.572,,https://www.gem.wiki/Ervine_Oil_and_Gas_Field_(Ireland),,proposed_plus
Everest,,gas_extraction_area,Chrysaor Holdings Limited (100%),Harbour Energy PLC (100%),United Kingdom,operating,1993,,5.10,million boe/y,point,57.746,1.8044,,https://www.gem.wiki/Everest_Oil_and_Gas_Field_(United_Kingdom),,operating
F02a-Hanze,,gas_extraction_area,,,Netherlands,operating,2001,,0.94,million boe/y,point,54.939,4.563,,https://www.gem.wiki/F02a-Hanze_Oil_and_Gas_Field_(Netherlands),,operating
F03-FB,,gas_extraction_area,Neptune Energy Netherlands B.V. (60%);EBN B.V. (40%),China Investment Corporation (29.4%);The Carlyle Group (18.4%);CVC Capital Partners (12.2%);Energie Beheer Nederland (EBN) (40%),Netherlands,operating,1993,,1.21,million boe/y,point,54.856,4.684,,https://www.gem.wiki/F03-FB_Oil_and_Gas_Field_(Netherlands),,operating
Fenja,,gas_extraction_area,Vår Energi AS (45%);Neptune Energy Norge AS (30%);Suncor Energy Norge AS (17.5%);DNO Norge AS (7.5%),Eni (31.4%);HitecVision (13.6%);China Investment Corporation (14.7%);The Carlyle Group (9.2%);CVC Capital Partners (6.1%);Suncor Energy Inc. (17.5%);DNO ASA (7.5%),Norway,in-development,,,,,point,64.029,6.751,,https://www.gem.wiki/Fenja_oil_and_gas_field,,construction_plus
Filitelnic (Philitelnic),,gas_extraction_area,,,Romania,operating,1961,,5.88,million boe/y,point,46.365,24.669,,https://www.gem.wiki/Filitelnic_(Philitelnic)_Gas_Field_(Romania),,operating
Fleming,,gas_extraction_area,,,United Kingdom,operating,1997,,1.34,million boe/y,point,57.974,1.821,,https://www.gem.wiki/Fleming_Oil_and_Gas_Field_(United_Kingdom),,operating
Flyndre,,gas_extraction_area,,,United Kingdom,operating,2016,,1.69,million boe/y,point,56.571,2.5969,,https://www.gem.wiki/Flyndre_Oil_and_Gas_Field_(United_Kingdom),,operating
Foinaven,,gas_extraction_area,BP PLC (100%),BP P.L.C. (100%),United Kingdom,operating,1997,,4.37,million boe/y,point,60.317,-4.2808,,https://www.gem.wiki/Foinaven_Oil_and_Gas_Field_(United_Kingdom),,operating
Forties,,gas_extraction_area,Apache Corporation (97%);other (3%),APA Coropration (97%),United Kingdom,operating,1975,,10.34,million boe/y,point,57.737,0.92234,,https://www.gem.wiki/Forties_Oil_and_Gas_Field_(United_Kingdom),,operating
Fram,,gas_extraction_area,Equinor Energy AS (45%);Vår Energi AS (25%);Neptune Energy Norge AS (15%);Idemitsu Petroleum Norge AS (15%),"Equinor ASA (45%);Eni (17.5%);HitecVision (7.5%);China Investment Corporation (7.3%);The Carlyle Group (4.6%);CVC Capital Partners (3.1%);Idemitsu Kosan Co.,Ltd (15%)",Norway,operating,2003,,17.92,million boe/y,point,61.046,3.5445,,https://www.gem.wiki/Fram_Oil_and_Gas_Field_(Norway),,operating
G14-A&B,,gas_extraction_area,Neptune Energy Netherlands B.V. (33.7%);EBN B.V. (40%);Nederlandse Aardolie Maatschappij B.V. (22.6%);TAQA Offshore B.V. (3.7%),China Investment Corporation (16.5%);The Carlyle Group (10.3%);CVC Capital Partners (6.9%);Energie Beheer Nederland (EBN) (40%);Shell plc (22.6%);TAQA (Abu Dhabi National Energy Company PJSC) (3.7%),Netherlands,operating,2006,,1.84,million boe/y,point,54.192,5.479,,https://www.gem.wiki/G14-A&B_Oil_and_Gas_Field_(Netherlands),,operating
G16a-A,,gas_extraction_area,Neptune Energy Netherlands B.V. (60%);EBN B.V. (40%),China Investment Corporation (29.4%);The Carlyle Group (18.4%);CVC Capital Partners (12.2%);Energie Beheer Nederland (EBN) (40%),Netherlands,operating,2006,,0.37,million boe/y,point,54.121,5.198,,https://www.gem.wiki/G16a-A_Oil_and_Gas_Field_(Netherlands),,operating
G16a-B,,gas_extraction_area,Neptune Energy Netherlands B.V. (60%);EBN B.V. (40%),China Investment Corporation (29.4%);The Carlyle Group (18.4%);CVC Capital Partners (12.2%);Energie Beheer Nederland (EBN) (40%),Netherlands,operating,2008,,0.41,million boe/y,point,54.12,5.236,,https://www.gem.wiki/G16a-B_Oil_and_Gas_Field_(Netherlands),,operating
G16a-C,,gas_extraction_area,Neptune Energy Netherlands B.V. (60%);EBN B.V. (40%),China Investment Corporation (29.4%);The Carlyle Group (18.4%);CVC Capital Partners (12.2%);Energie Beheer Nederland (EBN) (40%),Netherlands,operating,2011,,0.50,million boe/y,point,54.125,5.258,,https://www.gem.wiki/G16a-C_Oil_and_Gas_Field_(Netherlands),,operating
G17a-S1,,gas_extraction_area,Neptune Energy Netherlands B.V. (60%);EBN B.V. (40%),China Investment Corporation (29.4%);The Carlyle Group (18.4%);CVC Capital Partners (12.2%);Energie Beheer Nederland (EBN) (40%),Netherlands,operating,2006,,0.30,million boe/y,point,54.107,5.396,,https://www.gem.wiki/G17a-S1_Oil_and_Gas_Field_(Netherlands),,operating
G17cd-A,,gas_extraction_area,Neptune Energy Netherlands B.V. (25%);EBN B.V. (50%);Wintershall Noordzee B.V. (25%),China Investment Corporation (12.2%);The Carlyle Group (7.6%);CVC Capital Partners (5.1%);Energie Beheer Nederland (EBN) (50%);BASF SE (12.5%);PJSC Gazprom (12.5%),Netherlands,operating,2002,,0.25,million boe/y,point,54.049,5.44,,https://www.gem.wiki/G17cd-A_Oil_and_Gas_Field_(Netherlands),,operating
Gaag,,gas_extraction_area,,,Netherlands,operating,1989,,0.23,million boe/y,point,51.961,4.245,,https://www.gem.wiki/Gaag_Oil_and_Gas_Field_(Netherlands),,operating
Gagliano,,gas_extraction_area,,,Italy,operating,,,,,point,40.797,12.631,,https://www.gem.wiki/Gagliano_Gas_Field_(Italy),,operating
Gajewo,,gas_extraction_area,,,Poland,operating,,,0.06,million boe/y,point,52.4,19.18,,https://www.gem.wiki/Gajewo_Oil_and_Gas_Field_(Poland),,operating
Galapagos,,gas_extraction_area,,,United Kingdom,in-development,2025 (expected),,,,point,61.104,1.2854,,https://www.gem.wiki/Galapagos_Oil_Field_(United_Kingdom),,construction_plus
Galleon,,gas_extraction_area,,,United Kingdom,operating,1994,,1.97,million boe/y,point,53.493,1.8621,,https://www.gem.wiki/Galleon_Oil_and_Gas_Field_(United_Kingdom),,operating
Gannet A,,gas_extraction_area,,,United Kingdom,operating,1993,,2.64,million boe/y,point,57.185,1.0012,,https://www.gem.wiki/Gannet_A_Oil_and_Gas_Field_(United_Kingdom),,operating
Gannet E,,gas_extraction_area,,,United Kingdom,operating,1998,,1.77,million boe/y,point,57.081,0.83062,,https://www.gem.wiki/Gannet_E_Oil_and_Gas_Field_(United_Kingdom),,operating
Gannet F,,gas_extraction_area,,,United Kingdom,operating,1997,,2.41,million boe/y,point,57.079,0.96699,,https://www.gem.wiki/Gannet_F_Oil_and_Gas_Field_(United_Kingdom),,operating
Gannet G,,gas_extraction_area,,,United Kingdom,operating,1999,,0.93,million boe/y,point,57.238,1.0204,,https://www.gem.wiki/Gannet_G_Oil_and_Gas_Field_(United_Kingdom),,operating
Garten,,gas_extraction_area,,,United Kingdom,operating,,,2.88,million boe/y,point,59.49,1.5713,,https://www.gem.wiki/Garten_Oil_and_Gas_Field_(United_Kingdom),,operating
Gela,,gas_extraction_area,,,Italy,operating,1957,,6.53,million boe/y,point,37.032,14.27,,https://www.gem.wiki/Gela_Oil_and_Gas_Complex_(Italy),,operating
Georgsdorf,,gas_extraction_area,,,Germany,operating,,,0.58,million boe/y,point,51.614,10.101,,https://www.gem.wiki/Georgsdorf_Oil_and_Gas_Field_(Germany),,operating
Gina Krog,,gas_extraction_area,Equinor Energy AS (58.7%);KUFPEC Norway AS (30%);PGNiG Upstream Norway AS (11.3%),Equinor ASA (58.7%);Kuwait Petroleum Corporation (30%);Polskie Górnictwo Naftowe i Gazownictwo SA (PGNiG) (11.3%),Norway,operating,2017,,11.22,million boe/y,point,58.575,1.6841,,https://www.gem.wiki/Gina_Krog_Oil_and_Gas_Field_(Norway),,operating
Giovanna,,gas_extraction_area,,,Italy,operating,,,,,point,40.797,12.631,,https://www.gem.wiki/Giovanna_Gas_Field_(Italy),,operating
Gjøa,,gas_extraction_area,Neptune Energy Norge AS (30%);Petoro AS (30%);Wintershall DEA Norge AS (28%);OKEA ASA (12%),China Investment Corporation (14.7%);The Carlyle Group (9.2%);CVC Capital Partners (6.1%);Petoro AS (30%);BASF SE (28%);Bangchak/BCPR PTE. LTD. (5.6%),Norway,operating,2010,,24.27,million boe/y,point,61.354,3.9647,,https://www.gem.wiki/Gjøa_Oil_and_Gas_Field_(Norway),,operating
Glaucus,,gas_extraction_area,ExxonMobil (60%);Qatar Petroleum (40%),ExxonMobil Corporation (60%);QatarEnergy (40%),Cyprus,discovered,,,,,point,33.276,31.702,,https://www.gem.wiki/Glaucus_Gas_Field,,proposed_plus
Glendronach,,gas_extraction_area,TotalEnergies E&P UK (60%);INEOS E&P UK Limited (20%);SSE E&P UK Limited (20%),TotalEnergies (60%);INEOS (20%);SSE PLC (20%),United Kingdom,discovered,,,,,point,60.889,-2.242,,https://www.gem.wiki/Glendronach_Gas_Field,,proposed_plus
Glenelg,,gas_extraction_area,,,United Kingdom,operating,2006,,0.67,million boe/y,point,56.985,1.7848,,https://www.gem.wiki/Glenelg_Oil_and_Gas_Field_(United_Kingdom),,operating
Glengorm,,gas_extraction_area,CNOOC Limited (50%);TotalEnergies (25%);Energean (25%),CNOOC Limited (50%);TotalEnergies (25%);Energean (25%),United Kingdom,in-development,2025 (expected),,,,point,57.163,1.1068,,https://www.gem.wiki/Glengorm_Oil_and_Gas_Field_(United_Kingdom),,construction_plus
Glenlivet,,gas_extraction_area,TotalEnergies E&P UK (60%);DONG E&P UK Limited (20%);SSE E&P UK Limited (20%),TotalEnergies (60%);INEOS (20%);SSE PLC (20%),United Kingdom,operating,2017,,8.07,million boe/y,point,61.082,-2.0931,,https://www.gem.wiki/Glenlivet_Oil_and_Gas_Field_(United_Kingdom),,operating
Goddard,,gas_extraction_area,,,United Kingdom,discovered,,,,,point,53.615,1.149,,https://www.gem.wiki/Goddard_Gas_Field_(United_Kingdom),,proposed_plus
Golden Eagle,,gas_extraction_area,CNOOC Petroleum Europe Limited (36.5%);NEO Energy Production UK Limited (31.6%);Suncor Energy UK Limited (26.7%);ONE-Dyas UK Limited (5.2%),CNOOC Limited (36.5%);NEO Energy Production UK Limited (31.6%);Suncor Energy Inc. (26.7%);ONE-Dyas B.V. (5.2%),United Kingdom,operating,2014,,11.07,million boe/y,point,57.982,-0.92716,,https://www.gem.wiki/Golden_Eagle_Oil_and_Gas_Field_(United_Kingdom),,operating
Goldenstedt/Oythe (Karbon),,gas_extraction_area,,,Germany,operating,1959,,2.04,million boe/y,point,52.75,8.315,,https://www.gem.wiki/Goldenstedt_Oythe_(Karbon)_Gas_Field_(Germany),,operating
Goldenstedt/Visbek (Zechstein),,gas_extraction_area,,,Germany,operating,1971,,4.37,million boe/y,point,52.796,8.259,,https://www.gem.wiki/Goldenstedt_Visbek_(Zechstein)_Gas_Field_(Germany),,operating
Gorm,,gas_extraction_area,,,Denmark,operating,1981,,2.14,million boe/y,point,55.577,4.7592,,https://www.gem.wiki/Gorm_Oil_and_Gas_Field_(Denmark),,operating
Gorzysław N,,gas_extraction_area,,,Poland,operating,,,0.12,million boe/y,point,54.109,15.533,,https://www.gem.wiki/Gorzysław_N_Gas_Field_(Poland),,operating
Grant,,gas_extraction_area,,,United Kingdom,operating,1998,,1.65,million boe/y,point,60.588,1.7769,,https://www.gem.wiki/Grant_Oil_and_Gas_Field_(United_Kingdom),,operating
Grochowice,,gas_extraction_area,,,Poland,operating,,,0.26,million boe/y,point,52.4,19.18,,https://www.gem.wiki/Grochowice_Gas_Field_(Poland),,operating
Groningen,,gas_extraction_area,Nederlandse Aardolie Maatschappij B.V. (60%);EBN B.V. (40%),Shell plc (60%);Energie Beheer Nederland (EBN) (40%),Netherlands,operating,1963,,96.58,million boe/y,point,53.287,6.82,,https://www.gem.wiki/Groningen_gas_field,,operating
Grootegast,,gas_extraction_area,,,Netherlands,operating,1979,,0.24,million boe/y,point,53.249,6.245,,https://www.gem.wiki/Grootegast_Oil_and_Gas_Field_(Netherlands),,operating
Grotów,,gas_extraction_area,,,Poland,operating,2012,,0.12,million boe/y,point,52.4,19.18,,https://www.gem.wiki/Grotów_Oil_and_Gas_Field_(Poland),,operating
Gryphon,,gas_extraction_area,TotalEnergies E&P North Sea UK (86.5%);Sojitz Energy Development Limited (13.5%),TotalEnergies (86.5%);Sojitz Group (13.5%),United Kingdom,operating,1993,,1.82,million boe/y,point,59.353,1.5508,,https://www.gem.wiki/Gryphon_Oil_and_Gas_Field_(United_Kingdom),,operating
Gryphon Redevelopment,,gas_extraction_area,,,United Kingdom,in-development,2025 (expected),,,,point,59.353,1.5508,,https://www.gem.wiki/Gryphon_Oil_and_Gas_Field_(United_Kingdom),,construction_plus
Gudrun,,gas_extraction_area,Equinor Energy AS (36%);Neptune Energy Norge AS (25%);OMV (Norge) AS (24%);Repsol Norge AS (15%),Equinor ASA (36%);China Investment Corporation (12.2%);The Carlyle Group (7.6%);CVC Capital Partners (5.1%);OMV Aktiengesellschaft (24%);Repsol SA (15%),Norway,operating,2014,,18.47,million boe/y,point,58.845,1.7554,,https://www.gem.wiki/Gudrun_Oil_and_Gas_Field_(Norway),,operating
Guillemot A,,gas_extraction_area,,,United Kingdom,operating,1996,,1.12,million boe/y,point,57.16,0.83416,,https://www.gem.wiki/Guillemot_A_Oil_and_Gas_Field_(United_Kingdom),,operating
Gullfaks,,gas_extraction_area,Equinor Energy AS (51%);Petoro AS (30%);OMV (Norge) AS (19%),Equinor ASA (51%);Petoro AS (30%);OMV Aktiengesellschaft (19%),Norway,operating,1986,,15.16,million boe/y,point,61.203,2.2219,,https://www.gem.wiki/Gullfaks_Oil_and_Gas_Field_(Norway),,operating
Gullfaks Sør,,gas_extraction_area,Equinor Energy AS (51%);Petoro AS (30%);OMV (Norge) AS (19%),Equinor ASA (51%);Petoro AS (30%);OMV Aktiengesellschaft (19%),Norway,operating,1998,,44.15,million boe/y,point,61.094,2.1434,,https://www.gem.wiki/Gullfaks_Sør_Oil_and_Gas_Field_(Norway),,operating
Góra,,gas_extraction_area,,,Poland,operating,,,0.19,million boe/y,point,52.4,19.18,,https://www.gem.wiki/Góra_Gas_Field_(Poland),,operating
Górzyca,,gas_extraction_area,,,Poland,operating,2004,,0.24,million boe/y,point,52.4,19.18,,https://www.gem.wiki/Górzyca_Oil_and_Gas_Field_(Poland),,operating
Halfdan,,gas_extraction_area,,,Denmark,operating,1999,,19.36,million boe/y,point,55.566,5.079,,https://www.gem.wiki/Halfdan_Oil_and_Gas_Field_(Denmark),,operating
Hamwiede,,gas_extraction_area,,,Germany,operating,1968,,0.22,million boe/y,point,52.921,9.448,,https://www.gem.wiki/Hamwiede_Gas_Field_(Germany),,operating
Hanz,,gas_extraction_area,Equinor Energy AS (50%);Aker BP ASA (35%);Spirit Energy Norway AS (15%),Equinor ASA (50%);Aker (14%);BP (10.5%);Other (10.5%);Centrica PLC (15%),Norway,in-development,,,,,point,59.03,2.218,,https://www.gem.wiki/Hanz_Oil_Field,,construction_plus
